date,gd,gdp
2016-04-01,19062.709,0.3211240684381167
2016-07-01,19197.938,0.7093902550786346
2016-10-01,19304.352,0.5542991127484687
2017-01-01,19398.343,0.48689021004175714
2017-04-01,19506.949,0.5598725623111145
2017-07-01,19660.766,0.7885241305547019
2017-10-01,19882.352,1.1270466267692791
2018-01-01,20044.077,0.8134098018182323
2018-04-01,20150.476,0.5308251410129694
2018-07-01,20276.154,0.6236974253114314
2018-10-01,20304.874,0.1416442191157108
2019-01-01,20431.641,0.6243180824466066
2019-04-01,20602.275,0.8351458407085399
2019-07-01,20843.322,1.170001856591063
2019-10-01,20985.448,0.6818778695641736
2020-01-01,20693.238,-1.3924410858419556
2020-04-01,19056.617,-7.908965237823118
2020-07-01,20548.793,7.830225060408158
2020-10-01,20771.691,1.0847255116152033
2021-01-01,21058.379,1.3801861389137748
2021-04-01,21389.005,1.5700448738243278
2021-07-01,21571.421,0.8528493962201456
2021-10-01,21960.388,1.803158911042524
2022-01-01,21903.85,-0.2574544675622348
2022-04-01,21919.222,0.07017944333989057
2022-07-01,22066.784,0.6732082005465267
2022-10-01,22249.459,0.8278279245403475
2023-01-01,22403.435,0.6920437930648227
2023-04-01,22539.418,0.6069738859241891
2023-07-01,22780.933,1.071522787323076
2023-10-01,22960.6,0.788672702737836
2024-01-01,23053.545,0.40480213931690656
2024-04-01,23223.906,0.7389796233074009
2024-07-01,23400.294,0.7595104802784025
